troncon_unique_id,stop_depart_parent_id,stop_arrivee_parent_id,stop_depart_name,stop_arrivee_name,lat_depart_parent,lon_depart_parent,lat_arrivee_parent,lon_arrivee_parent
TU_BUS_000109,S5876,S5956,Walhalla,Becquerel,43.618045195,3.91666946,43.61842025,3.91406892
TU_BUS_000110,S5533,S5876,Louis Lépine,Walhalla,43.61550055,3.91578242,43.618045195,3.91666946
TU_BUS_000111,S5533,S5676,Louis Lépine,Volta Fizeau,43.61550055,3.91578242,43.61391632,3.9134558
TU_BUS_000112,S5486,S5676,Guglielmo Marconi,Volta Fizeau,43.611653285,3.912366415,43.61391632,3.9134558
TU_BUS_000113,S5454,S5486,Évariste Galois,Guglielmo Marconi,43.60915271,3.912464455,43.611653285,3.912366415
TU_BUS_000114,S5454,S5654,Évariste Galois,Samuel Morse,43.60915271,3.912464455,43.6067497,3.913270365
TU_BUS_000115,S5572,S5654,Odysseum,Samuel Morse,43.6042340125,3.9199430925,43.6067497,3.913270365
TU_BUS_000116,S5572,S5605,Odysseum,Place de France,43.6042340125,3.9199430925,43.603759528,3.915564274
TU_BUS_000117,S5559,S5605,Millénaire,Place de France,43.6031326475,3.910093335,43.603759528,3.915564274
TU_BUS_000118,S5559,S5668,Millénaire,Vauguières,43.6031326475,3.910093335,43.60447763,3.90692939
TU_BUS_000119,S5580,S5668,Parc de la Lironde,Vauguières,43.607950215,3.90675267,43.60447763,3.90692939
TU_BUS_000120,S5580,S5871,Parc de la Lironde,Léon Cazal,43.607950215,3.90675267,43.60567607,3.9033252
TU_BUS_000121,S5871,S5874,Léon Cazal,Pont Juvénal,43.60567607,3.9033252,43.60621844,3.89814412
TU_BUS_000122,S5606,S5874,Place de l'Europe,Pont Juvénal,43.6073732642857,3.89375728142857,43.60621844,3.89814412
TU_BUS_000123,S5606,S5961,Place de l'Europe,Pont Juvénal - Platon,43.6073732642857,3.89375728142857,43.60653515,3.89862289
TU_BUS_000124,S5871,S5961,Léon Cazal,Pont Juvénal - Platon,43.60567607,3.9033252,43.60653515,3.89862289
TU_BUS_000125,S5559,S5572,Millénaire,Odysseum,43.6031326475,3.910093335,43.6042340125,3.9199430925
TU_BUS_000126,S5605,S5654,Place de France,Samuel Morse,43.603759528,3.915564274,43.6067497,3.913270365
TU_BUS_000127,S5676,S5938,Volta Fizeau,Louis Lépine,43.61391632,3.9134558,43.61575306,3.91572754
TU_BUS_000128,S5876,S5938,Walhalla,Louis Lépine,43.618045195,3.91666946,43.61575306,3.91572754
TU_BUS_000129,S5876,S5937,Walhalla,Becquerel,43.618045195,3.91666946,43.61774289,3.91366662
TU_BUS_000130,S5380,S5937,Apollo,Becquerel,43.62192158,3.90883211,43.61774289,3.91366662
